user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
1751881,1,30,2,후레쉬치즈,"3,870원",1.0,1,1
1835210,1,30,2,후레쉬치즈,"3,870원",1.0,1,1
5824726,1,50,1,후레쉬치즈,"6,860원",3.0,3,1
1752218,0,40,3,후레쉬치즈,"3,870원",2.0,1,1
2034072,1,40,1,후레쉬치즈,"6,240원",2.0,1,1
539603,1,40,1,후레쉬치즈,"6,800원",2.0,1,1
2457697,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
5778844,1,20,1,후레쉬치즈,"3,870원",,1,1
5109491,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
744267,0,40,1,세미하드치즈,"5,500원",2.0,10,2
5262533,1,40,6,후레쉬치즈,"4,600원",2.0,3,1
4182156,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
1924332,1,40,1,후레쉬치즈,"6,860원",2.0,3,1
5934647,1,40,6,후레쉬치즈,"3,990원",2.0,1,1
4921467,1,40,1,세미하드치즈,"5,500원",2.0,10,2
201470,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
54456,1,50,1,후레쉬치즈,"6,860원",3.0,3,1
5144245,1,30,3,후레쉬치즈,"3,870원",1.0,1,1
3860481,0,30,1,후레쉬치즈,"3,870원",1.0,1,1
4961261,1,20,2,후레쉬치즈,"14,900원",,11,1
3043830,1,40,3,후레쉬치즈,"6,800원",2.0,1,1
64216,1,40,1,소프트치즈,"4,165원",2.0,7,4
5812384,1,50,1,소프트치즈,"4,165원",3.0,7,4
3877044,1,40,2,후레쉬치즈,"3,870원",2.0,1,1
6239230,1,30,1,후레쉬치즈,"8,900원",1.0,1,1
5040296,1,40,1,세미하드치즈,"5,500원",2.0,10,2
425652,1,50,5,후레쉬치즈,"14,900원",3.0,11,1
5991285,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2451622,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2196477,1,30,1,세미하드치즈,"6,800원",1.0,9,2
5071038,1,40,1,후레쉬치즈,"11,900원",2.0,3,1
1504151,1,30,1,후레쉬치즈,"11,900원",1.0,3,1
2632599,1,30,1,후레쉬치즈,"7,900원",1.0,11,1
5019865,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
775921,1,40,8,후레쉬치즈,"14,900원",2.0,11,1
2107077,1,20,1,후레쉬치즈,"15,900원",,1,1
6249917,1,30,1,후레쉬치즈,"6,600원",1.0,11,1
5912830,1,40,6,후레쉬치즈,"14,900원",2.0,11,1
1779161,1,60,5,후레쉬치즈,"3,870원",,1,1
4824791,1,20,4,후레쉬치즈,"14,900원",,11,1
75589,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
6223246,1,20,1,후레쉬치즈,"14,900원",,11,1
4362646,1,30,4,소프트치즈,"4,165원",1.0,7,4
2664002,1,40,5,세미하드,"4,200원",2.0,4,2
1313858,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
3715551,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
2309714,1,50,1,후레쉬치즈,"15,900원",3.0,1,1
5711164,0,30,1,소프트치즈,"7,500원",1.0,2,4
2935417,1,20,3,후레쉬치즈,"15,900원",,1,1
5421355,1,20,1,후레쉬치즈,"6,800원",,1,1
4614340,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
6491770,1,30,1,하드치즈,"11,900원",1.0,5,3
5067648,1,30,2,세미하드치즈,"7,600원",1.0,2,2
4575593,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
974860,0,30,1,후레쉬치즈,"6,800원",1.0,1,1
4033332,1,30,1,소프트치즈,"4,165원",1.0,8,4
503963,1,60,1,후레쉬치즈,"3,990원",,1,1
1018340,1,30,3,후레쉬치즈,"14,900원",1.0,11,1
3150290,0,30,1,소프트치즈,"4,165원",1.0,8,4
425652,1,50,5,후레쉬치즈,"14,900원",3.0,11,1
3576850,1,50,1,후레쉬치즈,"3,900원",3.0,1,1
3754117,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
4721795,1,40,2,후레쉬치즈,"3,870원",2.0,1,1
6340290,1,30,1,후레쉬치즈,"6,900원",1.0,1,1
1356525,1,30,1,세미하드치즈,"5,500원",1.0,10,2
2747511,0,40,2,후레쉬치즈,"3,870원",2.0,1,1
5081698,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
2324291,1,40,3,후레쉬치즈,"4,900원",2.0,1,1
