index,user_id,user_gender,user_age,item_code,category,sub1_category,sub2_category,item_brand,buy_price,buy_count,sub1_counts,sub1_rank,sub2_counts,sub2_rank
0,2391853,M,40,114,건강식품,영양제,기타영양제,가고시마,43000,1,11216,2.0,2331,8.0
1,1799897,F,40,114,건강식품,영양제,기타영양제,가고시마,43000,1,11216,2.0,2331,8.0
2,1614947,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1,6022,6.0,2235,10.0
3,1614947,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1,6022,6.0,2235,10.0
4,1614947,F,50,804126,냉동식품,냉동간편식,냉동밥,천일냉동,1990,5,9912,3.0,1490,14.0
5,1614947,F,50,831715,냉동식품,냉동간편식,기타냉동간편식,글로벌푸드,5300,1,9912,3.0,6198,3.0
6,6523993,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1,6022,6.0,2235,10.0
7,6523993,F,50,815689,냉동식품,냉동간편식,냉동밥,천일냉동,2350,5,9912,3.0,1490,14.0
8,6523993,F,50,815695,냉동식품,냉동간편식,냉동밥,천일냉동,2200,5,9912,3.0,1490,14.0
9,389215,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1,6022,6.0,2235,10.0
10,389215,F,50,827775,건강식품,건강진액,과일즙,올즙,47900,1,6022,6.0,2294,9.0
11,389215,F,50,827775,건강식품,건강진액,과일즙,올즙,42900,1,6022,6.0,2294,9.0
12,6323711,F,40,267,건강식품,건강진액,혼합즙,씨제이제일제당,43700,2,6022,6.0,1222,17.0
13,6323711,F,40,267,건강식품,건강진액,혼합즙,씨제이제일제당,43700,2,6022,6.0,1222,17.0
14,6323711,F,40,378935,건강식품,건강보조식품,다이어트보조식품,글램디,45000,1,4778,7.0,4346,4.0
15,4604267,M,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
16,1915490,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
17,652746,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
18,382566,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
19,382566,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
20,382566,F,40,579476,건강식품,영양제,종합영양제,비타민스토리,51800,1,11216,2.0,899,22.0
21,272515,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1,11216,2.0,899,22.0
