user_index,user_id,user_gender,user_age,buy_count,cheese_rank,cheese_code,cheese_brand,cheese_name,cheese_texture,cheese_types,cheese_category,cheese_one_price
3312,1751881,F,30,2,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
21971,1835210,F,30,2,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
2347,5824726,F,50,1,15.0,16,콜롬보,리코타,후레쉬치즈,자연치즈,리코타,"6,860원"
18459,1752218,M,40,3,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
8768,2034072,F,40,1,17.0,18,프란시아,모짜렐라 부팔라,후레쉬치즈,자연치즈,모짜렐라,"6,240원"
5894,539603,F,40,1,5.0,5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원"
19973,2457697,F,30,1,3.0,3,브렐렛,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,990원"
36379,5778844,F,20,1,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
28918,5109491,F,30,1,5.0,5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원"
16541,744267,M,40,1,11.0,11,프리코,에멘탈 슬라이스,세미하드치즈,자연치즈,에멘탈,"5,500원"
4246,5262533,F,40,6,8.0,8,프란시아,리코타 치즈,후레쉬치즈,자연치즈,리코타,"4,600원"
32707,4182156,F,40,1,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
36619,1924332,F,40,1,15.0,16,콜롬보,리코타,후레쉬치즈,자연치즈,리코타,"6,860원"
35464,5934647,F,40,6,3.0,3,브렐렛,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,990원"
10834,4921467,F,40,1,11.0,11,프리코,에멘탈 슬라이스,세미하드치즈,자연치즈,에멘탈,"5,500원"
548,201470,F,40,1,21.0,24,벨지오이오소,모짜렐라 로그,후레쉬치즈,자연치즈,모짜렐라,"15,900원"
33071,54456,F,50,1,15.0,16,콜롬보,리코타,후레쉬치즈,자연치즈,리코타,"6,860원"
26783,5144245,F,30,3,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
36372,3860481,M,30,1,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
16296,4961261,F,20,2,1.0,1,벨지오이오소,부라타 치즈,후레쉬치즈,자연치즈,부라타,"14,900원"
28367,3043830,F,40,3,5.0,5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원"
29027,64216,F,40,1,20.0,22,카스텔로,덴마크 까망베르 치즈,소프트치즈,자연치즈,까망베르,"4,165원"
29107,5812384,F,50,1,20.0,22,카스텔로,덴마크 까망베르 치즈,소프트치즈,자연치즈,까망베르,"4,165원"
30754,3877044,F,40,2,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
23451,6239230,F,30,1,44.0,50,델리시아,버팔로 모짜렐라,후레쉬치즈,자연치즈,모짜렐라,"8,900원"
2141,5040296,F,40,1,11.0,11,프리코,에멘탈 슬라이스,세미하드치즈,자연치즈,에멘탈,"5,500원"
27133,425652,F,50,5,1.0,1,벨지오이오소,부라타 치즈,후레쉬치즈,자연치즈,부라타,"14,900원"
18846,5991285,F,30,1,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
30869,2451622,F,30,1,2.0,2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원"
6233,2196477,F,30,1,42.0,48,퀘소로시난테,만체고 치즈 3개월,세미하드치즈,자연치즈,만체고,"6,800원"
6480,5071038,F,40,1,22.0,26,벨지오이오소,리코타 치즈,후레쉬치즈,자연치즈,리코타,"11,900원"
24097,1504151,F,30,1,22.0,26,벨지오이오소,리코타 치즈,후레쉬치즈,자연치즈,리코타,"11,900원"
17877,2632599,F,30,1,7.0,7,오로비안코,부라타 치즈,후레쉬치즈,자연치즈,부라타,"7,900원"
