user_age,gender,buy_count,cheese_rank,age_group,cheese_texture_code,brand_code,cheese_one_price
30,1,3,5.0,2,1,34,6800
30,1,1,11.0,2,2,41,5500
30,1,1,2.0,2,1,15,3870
30,1,1,13.0,2,1,5,3900
30,0,3,14.0,2,1,28,4900
50,1,1,11.0,4,2,41,5500
30,0,1,3.0,2,1,12,3990
30,1,7,16.0,2,1,19,4600
40,1,2,1.0,3,1,11,14900
40,1,2,2.0,3,1,15,3870
20,1,1,8.0,1,1,15,4600
20,1,1,5.0,1,1,34,6800
30,1,2,2.0,2,1,15,3870
20,1,1,1.0,1,1,11,14900
40,0,1,2.0,3,1,15,3870
40,0,1,7.0,3,1,22,7900
40,1,1,16.0,3,1,19,4600
40,1,1,5.0,3,1,34,6800
30,1,7,3.0,2,1,12,3990
40,1,1,11.0,3,2,41,5500
40,1,1,13.0,3,1,5,3900
20,1,1,4.0,1,4,32,4165
20,1,1,11.0,1,2,41,5500
40,1,1,2.0,3,1,15,3870
20,0,1,1.0,1,1,11,14900
30,1,1,20.0,2,4,32,4165
30,1,1,2.0,2,1,15,3870
40,0,1,2.0,3,1,15,3870
40,1,1,9.0,3,1,19,4600
40,1,4,2.0,3,1,15,3870
30,1,2,3.0,2,1,12,3990
30,1,1,1.0,2,1,11,14900
40,1,4,2.0,3,1,15,3870
50,1,3,2.0,4,1,15,3870
30,1,1,21.0,2,1,11,15900
40,1,1,11.0,3,2,41,5500
40,1,5,1.0,3,1,11,14900
20,1,1,3.0,1,1,12,3990
40,1,1,5.0,3,1,34,6800
30,1,2,5.0,2,1,34,6800
40,1,1,21.0,3,1,11,15900
40,1,1,15.0,3,1,28,6860
40,1,1,1.0,3,1,11,14900
30,1,1,2.0,2,1,15,3870
30,1,2,2.0,2,1,15,3870
30,1,1,3.0,2,1,12,3990
40,1,1,11.0,3,2,41,5500
30,1,1,11.0,2,2,41,5500
40,1,1,5.0,3,1,34,6800
20,1,6,1.0,1,1,11,14900
40,1,1,5.0,3,1,34,6800
30,1,1,7.0,2,1,22,7900
40,1,4,3.0,3,1,12,3990
30,1,1,10.0,2,1,30,5500
30,1,1,7.0,2,1,22,7900
20,1,1,5.0,1,1,34,6800
40,1,1,1.0,3,1,11,14900
30,1,1,3.0,2,1,12,3990
40,1,1,4.0,3,4,32,4165
30,1,1,9.0,2,1,19,4600
50,1,1,11.0,4,2,41,5500
30,1,1,18.0,2,2,1,4900
20,1,10,1.0,1,1,11,14900
30,1,2,5.0,2,1,34,6800
40,0,1,2.0,3,1,15,3870
40,1,1,2.0,3,1,15,3870
30,1,2,1.0,2,1,11,14900
30,0,1,7.0,2,1,22,7900
40,1,2,14.0,3,1,28,4900
30,1,1,7.0,2,1,22,7900
40,1,5,13.0,3,1,5,3900
40,1,1,13.0,3,1,5,3900
30,0,10,1.0,2,1,11,14900
40,1,2,1.0,3,1,11,14900
20,0,1,7.0,1,1,22,7900
40,1,1,2.0,3,1,15,3870
20,0,1,1.0,1,1,11,14900
50,0,1,5.0,4,1,34,6800
40,1,1,2.0,3,1,15,3870
50,1,3,1.0,4,1,11,14900
40,1,1,11.0,3,2,41,5500
30,0,2,3.0,2,1,12,3990
30,0,1,2.0,2,1,15,3870
30,0,2,13.0,2,1,5,3900
30,1,4,2.0,2,1,15,3870
30,1,1,3.0,2,1,12,3990
30,1,1,1.0,2,1,11,14900
30,1,1,2.0,2,1,15,3870
40,1,5,7.0,3,1,22,7900
40,1,1,5.0,3,1,34,6800
40,1,1,5.0,3,1,34,6800
20,1,1,6.0,1,1,40,6600
30,0,4,2.0,2,1,15,3870
30,0,4,2.0,2,1,15,3870
30,1,2,3.0,2,1,12,3990
30,1,1,9.0,2,1,19,4600
30,1,1,16.0,2,1,19,4600
30,1,1,15.0,2,1,28,6860
30,1,1,2.0,2,1,15,3870
30,1,1,21.0,2,1,11,15900
30,1,1,7.0,2,1,22,7900
30,1,1,12.0,2,4,42,8400
40,1,2,4.0,3,4,32,4165
40,1,3,3.0,3,1,12,3990
40,1,1,8.0,3,1,15,4600
30,0,1,1.0,2,1,11,14900
30,1,1,3.0,2,1,12,3990
30,1,2,1.0,2,1,11,14900
40,1,1,10.0,3,1,30,5500
30,1,1,6.0,2,1,40,6600
40,1,1,7.0,3,1,22,7900
40,1,5,2.0,3,1,15,3870
40,1,1,17.0,3,1,15,6240
40,0,1,17.0,3,1,15,6240
40,1,1,17.0,3,1,15,6240
30,1,1,1.0,2,1,11,14900
40,1,2,2.0,3,1,15,3870
40,1,1,3.0,3,1,12,3990
40,1,1,9.0,3,1,19,4600
20,0,1,2.0,1,1,15,3870
40,1,1,18.0,3,2,1,4900
50,1,1,7.0,4,1,22,7900
40,1,2,5.0,3,1,34,6800
40,0,1,2.0,3,1,15,3870
30,1,2,3.0,2,1,12,3990
40,1,1,2.0,3,1,15,3870
40,1,3,1.0,3,1,11,14900
30,0,1,2.0,2,1,15,3870
50,1,1,1.0,4,1,11,14900
40,1,2,3.0,3,1,12,3990
20,0,7,1.0,1,1,11,14900
40,1,2,14.0,3,1,28,4900
30,0,4,1.0,2,1,11,14900
30,1,3,3.0,2,1,12,3990
50,0,1,8.0,4,1,15,4600
40,1,3,4.0,3,4,32,4165
40,1,1,2.0,3,1,15,3870
30,1,1,20.0,2,4,32,4165
20,1,3,3.0,1,1,12,3990
30,1,2,1.0,2,1,11,14900
30,1,1,11.0,2,2,41,5500
20,0,5,1.0,1,1,11,14900
30,1,1,3.0,2,1,12,3990
30,1,50,6.0,2,1,40,6600
40,1,5,2.0,3,1,15,3870
40,1,1,3.0,3,1,12,3990
50,1,4,3.0,4,1,12,3990
50,1,1,5.0,4,1,34,6800
40,1,1,18.0,3,2,1,4900
30,1,1,20.0,2,4,32,4165
30,0,2,1.0,2,1,11,14900
20,1,1,1.0,1,1,11,14900
40,1,1,5.0,3,1,34,6800
20,1,2,1.0,1,1,11,14900
40,1,2,1.0,3,1,11,14900
40,1,4,2.0,3,1,15,3870
30,1,1,13.0,2,1,5,3900
40,0,1,11.0,3,2,41,5500
30,0,1,16.0,2,1,19,4600
30,1,1,5.0,2,1,34,6800
30,1,1,7.0,2,1,22,7900
30,1,1,11.0,2,2,41,5500
40,1,1,2.0,3,1,15,3870
50,1,1,7.0,4,1,22,7900
30,0,1,2.0,2,1,15,3870
30,1,1,13.0,2,1,5,3900
40,1,1,7.0,3,1,22,7900
40,1,1,7.0,3,1,22,7900
50,1,1,21.0,4,1,11,15900
50,1,5,1.0,4,1,11,14900
40,1,2,1.0,3,1,11,14900
40,0,4,2.0,3,1,15,3870
40,1,1,8.0,3,1,15,4600
40,1,4,5.0,3,1,34,6800
50,1,1,21.0,4,1,11,15900
30,0,1,7.0,2,1,22,7900
30,1,1,5.0,2,1,34,6800
40,1,5,1.0,3,1,11,14900
30,1,1,2.0,2,1,15,3870
40,1,1,18.0,3,2,1,4900
30,1,1,9.0,2,1,19,4600
50,1,1,2.0,4,1,15,3870
30,1,2,13.0,2,1,5,3900
30,1,4,1.0,2,1,11,14900
30,1,1,11.0,2,2,41,5500
30,1,1,1.0,2,1,11,14900
50,1,1,7.0,4,1,22,7900
30,1,1,5.0,2,1,34,6800
30,0,1,15.0,2,1,28,6860
40,1,1,15.0,3,1,28,6860
30,1,2,1.0,2,1,11,14900
40,1,2,11.0,3,2,41,5500
30,1,1,12.0,2,4,42,8400
20,1,1,2.0,1,1,15,3870
30,1,1,2.0,2,1,15,3870
30,1,1,2.0,2,1,15,3870
40,0,1,16.0,3,1,19,4600
30,1,1,1.0,2,1,11,14900
30,1,1,14.0,2,1,28,4900
20,1,1,11.0,1,2,41,5500
30,1,2,2.0,2,1,15,3870
40,1,1,5.0,3,1,34,6800
30,1,1,15.0,2,1,28,6860
30,1,4,1.0,2,1,11,14900
40,1,20,1.0,3,1,11,14900
30,1,1,8.0,2,1,15,4600
20,1,1,10.0,1,1,30,5500
40,1,1,11.0,3,2,41,5500
50,1,1,1.0,4,1,11,14900
20,1,1,2.0,1,1,15,3870
50,1,10,12.0,4,4,42,8400
40,1,1,7.0,3,1,22,7900
40,1,1,3.0,3,1,12,3990
30,1,1,16.0,2,1,19,4600
40,0,4,1.0,3,1,11,14900
30,1,5,13.0,2,1,5,3900
40,1,1,20.0,3,4,32,4165
30,1,3,8.0,2,1,15,4600
50,1,10,1.0,4,1,11,14900
40,1,10,15.0,3,1,28,6860
30,1,1,9.0,2,1,19,4600
40,1,1,16.0,3,1,19,4600
40,1,1,21.0,3,1,11,15900
40,1,2,11.0,3,2,41,5500
30,1,3,3.0,2,1,12,3990
30,1,2,2.0,2,1,15,3870
30,1,1,1.0,2,1,11,14900
30,1,1,17.0,2,1,15,6240
40,1,3,3.0,3,1,12,3990
30,0,1,13.0,2,1,5,3900
30,1,1,3.0,2,1,12,3990
30,1,2,2.0,2,1,15,3870
30,1,1,11.0,2,2,41,5500
20,1,1,5.0,1,1,34,6800
30,1,2,3.0,2,1,12,3990
40,0,3,11.0,3,2,41,5500
30,1,2,13.0,2,1,5,3900
40,1,1,12.0,3,4,42,8400
20,1,2,16.0,1,1,19,4600
20,1,10,1.0,1,1,11,14900
40,1,1,7.0,3,1,22,7900
30,1,1,1.0,2,1,11,14900
40,1,2,5.0,3,1,34,6800
40,0,10,1.0,3,1,11,14900
40,1,1,5.0,3,1,34,6800
40,1,1,21.0,3,1,11,15900
40,1,2,8.0,3,1,15,4600
50,1,1,5.0,4,1,34,6800
40,1,3,1.0,3,1,11,14900
30,1,2,2.0,2,1,15,3870
40,1,1,7.0,3,1,22,7900
30,1,1,5.0,2,1,34,6800
50,1,1,7.0,4,1,22,7900
30,1,1,15.0,2,1,28,6860
40,1,8,5.0,3,1,34,6800
30,0,1,2.0,2,1,15,3870
20,0,1,3.0,1,1,12,3990
40,1,1,3.0,3,1,12,3990
20,1,3,3.0,1,1,12,3990
30,0,1,6.0,2,1,40,6600
30,1,1,11.0,2,2,41,5500
40,1,1,20.0,3,4,32,4165
20,1,1,4.0,1,4,32,4165
50,0,2,3.0,4,1,12,3990
30,1,1,4.0,2,4,32,4165
40,1,1,7.0,3,1,22,7900
30,1,1,21.0,2,1,11,15900
40,1,3,7.0,3,1,22,7900
40,1,1,7.0,3,1,22,7900
30,1,1,9.0,2,1,19,4600
40,1,1,3.0,3,1,12,3990
30,1,1,2.0,2,1,15,3870
30,1,2,13.0,2,1,5,3900
20,1,1,4.0,1,4,32,4165
30,1,1,11.0,2,2,41,5500
30,1,2,2.0,2,1,15,3870
30,1,1,13.0,2,1,5,3900
40,1,1,1.0,3,1,11,14900
30,1,20,13.0,2,1,5,3900
30,1,1,15.0,2,1,28,6860
30,1,1,15.0,2,1,28,6860
30,1,3,13.0,2,1,5,3900
20,1,2,13.0,1,1,5,3900
30,1,1,11.0,2,2,41,5500
50,1,1,20.0,4,4,32,4165
30,1,2,2.0,2,1,15,3870
20,1,4,1.0,1,1,11,14900
30,1,1,12.0,2,4,42,8400
30,1,1,1.0,2,1,11,14900
50,1,1,7.0,4,1,22,7900
30,1,2,1.0,2,1,11,14900
40,1,2,2.0,3,1,15,3870
40,1,1,9.0,3,1,19,4600
30,1,5,1.0,2,1,11,14900
50,0,1,7.0,4,1,22,7900
30,1,1,7.0,2,1,22,7900
40,1,3,1.0,3,1,11,14900
40,1,1,7.0,3,1,22,7900
30,1,1,7.0,2,1,22,7900
50,1,10,1.0,4,1,11,14900
30,0,1,8.0,2,1,15,4600
30,1,2,1.0,2,1,11,14900
